;ticker;Tax Effect Of Unusual Items;Tax Rate For Calcs;Normalized EBITDA;Net Income From Continuing Operation Net Minority Interest;Net Interest Income;EBIT;Interest Expense;Normalized Income;Diluted NI Availto Com Stockholders;Net Income Common Stockholders;Net Income Including Noncontrolling Interests;Net Income Continuous Operations;Tax Provision;Pretax Income;Selling General And Administration;Total Revenue;Operating Revenue;cluster
39;EZTC3.SA;0.09994500004201051;-1.0350208201807252;-0.5277419260082357;-0.46496627033268634;-0.14505840407011958;-0.4881356405201334;-0.2886290436413882;-0.47055272005168536;-0.46707308188737673;-0.4670757318474522;-0.4820868862590951;-0.47384812336488036;-0.37948895270148975;-0.4623910616686371;-0.4665179936259147;-0.6422968795771881;-0.64977969483038;3
40;FLRY3.SA;0.07166715301284834;0.09627925495282223;-0.44745472328541364;-0.467065390570861;-0.1690681685026394;-0.445009320154732;-0.2754630805215083;-0.4614029852595309;-0.4692221540302253;-0.46922480573817876;-0.4862143927415945;-0.47791258919036766;-0.35744420804569177;-0.4598277692871346;-0.4702545747449962;-0.5779676440509397;-0.585856101695355;3
41;GGBR4.SA;-0.37534335136982344;0.398091128144045;1.1640318693757212;0.9221356068939767;-0.23844386332025266;1.2698761027982086;-0.25588914999045315;0.96462057121523;0.9530370906642165;0.9530355957045853;0.8952464201880586;0.8824487542041614;1.1935729918743403;0.9808247728545785;-0.2370546584800114;0.9225531909548271;1.1122271375614905;0
42;GOAU4.SA;0.10383340823536306;0.4111604129281052;1.1156091008208882;-0.03763029869284783;-0.23846291617753604;1.2711998022985191;-0.25588914999045315;-0.03912391204733214;-0.02956797113350555;-0.02957026526302149;0.8931109401443206;0.8803458899941148;1.2043023855186648;0.9819769306427291;-0.2356044858697711;0.9225531909548271;0.9052028633750278;0
43;GOLL4.SA;1.758966346048346;1.3778919274817365;-0.4363723025821165;-0.7006540262015072;-0.38263144381839265;-0.4148468793522057;-0.1980916661274186;-0.7982366442709256;-0.7083694027635081;-0.7083722489741022;-0.7174967253637258;-0.7056624766750765;-0.3765888620981971;-0.6391042296272319;-0.18677083241905798;-0.3713058024872786;-0.38049741262372494;3
44;GMAT3.SA;0.07156080617715281;-1.6156230055936698;-0.4220630284485539;-0.3740349656858279;-0.16624800900177764;-0.3995045391692647;-0.28451931697099875;-0.3691558482024744;-0.37397792222212134;-0.373980496466275;-0.39271430102346155;-0.3858405527006378;-0.3839328852430737;-0.39616301090525746;-0.31987508455981056;-0.24483813443102084;-0.25482721475132836;3
45;NTCO3.SA;-1.818016919828043;1.3778919274817365;-0.3373156002275921;-0.8153286686694718;-0.1961410668598222;-0.7048699861011011;-0.2636100920051439;-0.6887937062758661;-0.8744369409252795;-0.8744399222015072;-0.8779084014520815;-0.8172997478520148;-0.3491372302412054;-0.7174987832319387;2.0676153421604897;0.03584835471673778;0.02408934292265268;3
46;SOMA3.SA;0.0696662238941737;1.3778919274817365;-0.4951050624196731;-0.46365661623325727;-0.15770095108411664;-0.48455772114903783;-0.28414303830585846;-0.45789108536110606;-0.46573226248567445;-0.4657349113552381;-0.48294253754602023;-0.4746907060304648;-0.41117809206961126;-0.4711934763197221;-0.23364141130106572;-0.5701236576448222;-0.5780615773009723;3
47;HAPV3.SA;-0.04866414263149029;1.3778919274817365;-0.347210190846232;-0.6026593862547321;-0.27206569326536606;-0.5149672510969008;-0.23334931395417513;-0.5883208099963687;-0.6080428245007885;-0.6080455891140216;-0.6203398033876978;-0.609989461803885;-0.6358036536738184;-0.6325910282333543;-0.20095036108023587;-0.20671687639705294;-0.21694633884127096;3
48;HYPE3.SA;0.017406733474741327;1.3778919274817365;-0.31624096252745254;-0.29252289924802033;-0.21536041783954255;-0.2538347240318177;-0.25513550474386787;-0.28496432812580197;-0.2915563553401524;-0.291558862549404;-0.3143584579824282;-0.30770078316010857;-0.42698047137464057;-0.34742633560246033;-0.2750848669341076;-0.5186138574950879;-0.526876583723759;3
